"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001081R","72041","Dalston Kingsland Station","51.548811","-0.075125","","","0","","Stop R","","1","",""
"2450-490001083H2","59277","Denmark Hill Station","51.46765","-0.089182","","","0","","Stop J","","1","",""
"2450-490001083H7","56377","Denmark Hill Station","51.468075","-0.088805","","","0","","Stop C","","1","",""
"2450-490001085E","77666","Drayton Green","51.516687","-0.326401","","","0","","Stop DH","","1","",""
"2450-490001085W","51740","Drayton Green","51.516701","-0.327381","","","0","","Stop DM","","1","",""
"2450-490001088A","76794","Penwith Road","51.443013","-0.188508","","","0","","Stop A","","1","",""
"2450-490001088B","53099","Penwith Road","51.443026","-0.188177","","","0","","Stop B","","1","",""
"2450-490001088N","50233","Earlsfield Road","51.443372","-0.189616","","","0","","Stop H","","1","",""
"2450-490001088S","48144","Earlsfield Road","51.443177","-0.189207","","","0","","Stop E","","1","",""
"2450-490001089E1","50425","East Croydon Rail Station","51.374941","-0.091738","","","0","2450-910GECROYDN","Stop E1","","1","",""
"2450-490001089E2","57123","East Croydon Rail Station","51.374893","-0.091567","","","0","2450-910GECROYDN","Stop E2","","1","",""
"2450-490001089E3","58093","East Croydon Rail Station","51.374714","-0.091618","","","0","2450-910GECROYDN","Stop E3","","1","",""
"2450-490001089E4","47281","Cherry Orchard Road East Croydon Station","51.375654","-0.091349","","","0","","Stop E4","","1","",""
"2450-490001089E5","72629","Addiscombe Road","51.376009","-0.091075","","","0","","Stop E5","","1","",""
"2450-490001089E6","50077","East Croydon Rail Station","51.374668","-0.092654","","","0","2450-910GECROYDN","Stop E6","","1","",""
"2450-490001089E7","73337","East Croydon Rail Station","51.374588","-0.093275","","","0","2450-910GECROYDN","Stop E7","","1","",""
"2450-490001089E8","57000","Dingwall Road East Croydon Station","51.375026","-0.094234","","","0","","Stop E8","","1","",""
"2450-490001090D","56183","East Dulwich","51.461674","-0.080679","","","0","","Stop D","","1","",""
"2450-490001090S","47018","East Dulwich","51.461586","-0.079646","","","0","","Stop E","","1","",""
"2450-490001090U","53812","Derwent Grove","51.459307","-0.078317","","","0","","Stop U","","1","",""
"2450-490001091A","72127","Eden Park Station","51.389598","-0.026534","","","0","","Stop A","","1","",""
"2450-490001091B","74986","Eden Park Station","51.390216","-0.02691","","","0","","Stop B","","1","",""
"2450-490001092D","58485","Edmonton Green Station","51.625091","-0.062348","","","0","","Stop R","","1","",""
"2450-490001092E","55451","Edmonton Green Station","51.625333","-0.061716","","","0","","Stop U","","1","",""
"2450-490001094C","74158","Elmers End Station","51.399306","-0.049938","","","0","","Stop C","","1","",""
"2450-490001094N","50904","Elmers End Station","51.399751","-0.051299","","","0","","Stop B","","1","",""
"2450-490001095N","49156","Elmstead Woods","51.417003","0.045563","","","0","","Stop A","","1","",""
